A;20.11.2022;17:00;Katar;- ;Ecuador;-:-  ;  
A;21.11.2022;17:00;Sénégal;- ;Niederlande;-:-  ;  
A;25.11.2022;14:00;Katar;- ;Sénégal;-:-  ;  
A;25.11.2022;17:00;Niederlande;- ;Ecuador;-:-  ;  
A;29.11.2022;16:00;Niederlande;- ;Katar;-:-  ;  
A;29.11.2022;16:00;Ecuador;- ;Sénégal;-:-  ;  
B;21.11.2022;14:00;England;- ;Iran;-:-  ;  
B;21.11.2022;20:00;USA;- ;Wales;-:-  ;  
B;25.11.2022;11:00;Wales;- ;Iran;-:-  ;  
B;25.11.2022;20:00;England;- ;USA;-:-  ;  
B;29.11.2022;20:00;Wales;- ;England;-:-  ;  
B;29.11.2022;20:00;Iran;- ;USA;-:-  ;  
C;22.11.2022;11:00;Argentinien;- ;Saudi-Arabien;-:-  ;  
C;22.11.2022;17:00;Mexiko;- ;Polen;-:-  ;  
C;26.11.2022;14:00;Polen;- ;Saudi-Arabien;-:-  ;  
C;26.11.2022;20:00;Argentinien;- ;Mexiko;-:-  ;  
C;30.11.2022;20:00;Polen;- ;Argentinien;-:-  ;  
C;30.11.2022;20:00;Saudi-Arabien;- ;Mexiko;-:-  ;  
D;22.11.2022;14:00;Dänemark;- ;Tunesien;-:-  ;  
D;22.11.2022;20:00;Frankreich;- ;Australien;-:-  ;  
D;26.11.2022;11:00;Tunesien;- ;Australien;-:-  ;  
D;26.11.2022;17:00;Frankreich;- ;Dänemark;-:-  ;  
D;30.11.2022;16:00;Tunesien;- ;Frankreich;-:-  ;  
D;30.11.2022;16:00;Australien;- ;Dänemark;-:-  ;  
E;23.11.2022;14:00;Deutschland;- ;Japan;-:-  ;  
E;23.11.2022;17:00;Spanien;- ;Costa Rica;-:-  ;  
E;27.11.2022;11:00;Japan;- ;Costa Rica;-:-  ;  
E;27.11.2022;20:00;Spanien;- ;Deutschland;-:-  ;  
E;01.12.2022;20:00;Japan;- ;Spanien;-:-  ;  
E;01.12.2022;20:00;Costa Rica;- ;Deutschland;-:-  ;  
F;23.11.2022;11:00;Marokko;- ;Kroatien;-:-  ;  
F;23.11.2022;20:00;Belgien;- ;Kanada;-:-  ;  
F;27.11.2022;14:00;Belgien;- ;Marokko;-:-  ;  
F;27.11.2022;17:00;Kroatien;- ;Kanada;-:-  ;  
F;01.12.2022;16:00;Kroatien;- ;Belgien;-:-  ;  
F;01.12.2022;16:00;Kanada;- ;Marokko;-:-  ;  
G;24.11.2022;11:00;Schweiz;- ;Kamerun;-:-  ;  
G;24.11.2022;20:00;Brasilien;- ;Serbien;-:-  ;  
G;28.11.2022;11:00;Kamerun;- ;Serbien;-:-  ;  
G;28.11.2022;17:00;Brasilien;- ;Schweiz;-:-  ;  
G;02.12.2022;20:00;Kamerun;- ;Brasilien;-:-  ;  
G;02.12.2022;20:00;Serbien;- ;Schweiz;-:-  ;  
H;24.11.2022;14:00;Uruguay;- ;Südkorea;-:-  ;  
H;24.11.2022;17:00;Portugal;- ;Ghana;-:-  ;  
H;28.11.2022;14:00;Südkorea;- ;Ghana;-:-  ;  
H;28.11.2022;20:00;Portugal;- ;Uruguay;-:-  ;  
H;02.12.2022;16:00;Südkorea;- ;Portugal;-:-  ;  
H;02.12.2022;16:00;Ghana;- ;Uruguay;-:-  ;  
AF1;03.12.2022;16:00;Sieger Gruppe A;- ;Zweiter Gruppe B;-:-  ;  
AF2;;20:00;Sieger Gruppe C;- ;Zweiter Gruppe D;-:-  ;  
AF3;04.12.2022;16:00;Sieger Gruppe D;- ;Zweiter Gruppe C;-:-  ;  
AF4;;20:00;Sieger Gruppe B;- ;Zweiter Gruppe A;-:-  ;  
AF5;05.12.2022;16:00;Sieger Gruppe E;- ;Zweiter Gruppe F;-:-  ;  
AF6;;20:00;Sieger Gruppe G;- ;Zweiter Gruppe H;-:-  ;  
AF7;06.12.2022;16:00;Sieger Gruppe F;- ;Zweiter Gruppe E;-:-  ;  
AF8;;20:00;Sieger Gruppe H;- ;Zweiter Gruppe G;-:-  ;  
VF1;09.12.2022;16:00;Sieger AF 5;- ;Sieger AF 6;-:-  ;  
VF2;;20:00;Sieger AF 1;- ;Sieger AF 2;-:-  ;  
VF3;10.12.2022;16:00;Sieger AF 7;- ;Sieger AF 8;-:-  ;  
VF4;;20:00;Sieger AF 3;- ;Sieger AF 4;-:-  ;  
HF1;13.12.2022;20:00;Sieger VF 2;- ;Sieger VF 1;-:-  ;  
HF2;14.12.2022;20:00;Sieger VF 4;- ;Sieger VF 3;-:-  ;  
D;17.12.2022;16:00;Verlierer HF 1;- ;Verlierer HF 2;-:-  ;  
F;18.12.2022;16:00;Sieger HF 1;- ;Sieger HF 2;-:-  ; 
